Mot;Définition 1;Définition 2;Lemme;Mot source;Thème source;Flag 1;Flag 2
ONT;Possèdent;Forme d’avoir;avoir;AI;;ok;verbatim
AVAIT;Possédait;Forme d’avoir;avoir;AI;;ok;verbatim
AVOIR;Posséder;Forme d’avoir;avoir;AI;;ok;verbatim
AVONS;Possédons;Forme d’avoir;avoir;AI;;ok;verbatim
AVAIENT;Possédaient;Forme d’avoir;avoir;AI;;ok;verbatim
AURAIT;Posséderait;Forme d’avoir;avoir;AI;;ok;verbatim
AIT;Possède;Forme d’avoir;avoir;AI;;ok;verbatim
EUT;Posséda;Forme d’avoir;avoir;AI;;ok;verbatim
AYANT;Possédant;Forme d’avoir;avoir;AI;;ok;verbatim
EÛT;Possédât;Forme d’avoir;avoir;AI;;ok;verbatim
AVEZ;Possédez;Forme d’avoir;avoir;AI;;ok;verbatim
AURAIENT;Posséderaient;Forme d’avoir;avoir;AI;;ok;verbatim
AURA;Possédera;Forme d’avoir;avoir;AI;;ok;verbatim
AVAIS;Possédais;Forme d’avoir;avoir;AI;;ok;verbatim
AIENT;Possèdent;Forme d’avoir;avoir;AI;;ok;verbatim
AURONT;Posséderont;Forme d’avoir;avoir;AI;;ok;verbatim
AVIONS;Possédions;Forme d’avoir;avoir;AI;;ok;verbatim
EURENT;Possédèrent;Forme d’avoir;avoir;AI;;ok;verbatim
EUSSENT;Possédassent;Forme d’avoir;avoir;AI;;ok;verbatim
AURAIS;Posséderais;Forme d’avoir;avoir;AI;;ok;verbatim
AURONS;Posséderons;Forme d’avoir;avoir;AI;;ok;verbatim
AUREZ;Posséderez;Forme d’avoir;avoir;AI;;ok;verbatim
AURIONS;Posséderions;Forme d’avoir;avoir;AI;;ok;verbatim
AURAI;Posséderai;Forme d’avoir;avoir;AI;;ok;verbatim
AVIEZ;Possédiez;Forme d’avoir;avoir;AI;;ok;verbatim
EUE;Possédée;Forme d’avoir;avoir;AI;;ok;verbatim
EUS;Possédés;Forme d’avoir;avoir;AI;;ok;verbatim
EUSSE;Possédasse;Forme d’avoir;avoir;AI;;ok;verbatim
AURIEZ;Posséderiez;Forme d’avoir;avoir;AI;;ok;verbatim
AIE;Possède;Forme d’avoir;avoir;AI;;ok;verbatim
AYONS;Possédions;Forme d’avoir;avoir;AI;;ok;verbatim
EÛMES;Possédâmes;Forme d’avoir;avoir;AI;;ok;verbatim
AYEZ;Possédiez;Forme d’avoir;avoir;AI;;ok;verbatim
