word,language,length,frequency,difficulty,clue,source,source_license,lemma
ai,fr,2,100000,,Forme verbale,bliss,CC0-1.0,avoir
ag,fr,2,100000,,Symbole de l'argent,bliss,CC0-1.0,
al,fr,2,100000,,Symbole de l'aluminium,bliss,CC0-1.0,
an,fr,2,100000,,Duree,bliss,CC0-1.0,
ar,fr,2,100000,,Symbole de l'argon,bliss,CC0-1.0,
as,fr,2,100000,,Carte,bliss,CC0-1.0,
au,fr,2,100000,,Article contracte,bliss,CC0-1.0,
be,fr,2,100000,,Symbole du beryllium,bliss,CC0-1.0,
br,fr,2,100000,,Symbole du brome,bliss,CC0-1.0,
ca,fr,2,100000,,Pronom,bliss,CC0-1.0,
ce,fr,2,100000,,Pronom,bliss,CC0-1.0,
co,fr,2,100000,,Symbole du cobalt,bliss,CC0-1.0,
cr,fr,2,100000,,Symbole du chrome,bliss,CC0-1.0,
cu,fr,2,100000,,Symbole du cuivre,bliss,CC0-1.0,
dr,fr,2,100000,,Titre abrege,bliss,CC0-1.0,
du,fr,2,100000,,Article contracte,bliss,CC0-1.0,
en,fr,2,100000,,Preposition,bliss,CC0-1.0,
et,fr,2,100000,,Conjonction,bliss,CC0-1.0,
eu,fr,2,100000,,Forme verbale,bliss,CC0-1.0,avoir
fe,fr,2,100000,,Symbole du fer,bliss,CC0-1.0,
he,fr,2,100000,,Symbole de l'helium,bliss,CC0-1.0,
hg,fr,2,100000,,Symbole du mercure,bliss,CC0-1.0,
il,fr,2,100000,,Pronom,bliss,CC0-1.0,
kr,fr,2,100000,,Symbole du krypton,bliss,CC0-1.0,
la,fr,2,100000,,Article,bliss,CC0-1.0,
le,fr,2,100000,,Article,bliss,CC0-1.0,
li,fr,2,100000,,Symbole du lithium,bliss,CC0-1.0,
ma,fr,2,100000,,Possessif,bliss,CC0-1.0,
mg,fr,2,100000,,Symbole du magnesium,bliss,CC0-1.0,
mn,fr,2,100000,,Symbole du manganese,bliss,CC0-1.0,
mr,fr,2,100000,,Titre abrege,bliss,CC0-1.0,
na,fr,2,100000,,Symbole du sodium,bliss,CC0-1.0,
ne,fr,2,100000,,Point cardinal,bliss,CC0-1.0,
ni,fr,2,100000,,Conjonction,bliss,CC0-1.0,
no,fr,2,100000,,Point cardinal,bliss,CC0-1.0,
on,fr,2,100000,,Pronom,bliss,CC0-1.0,
or,fr,2,100000,,Metal,bliss,CC0-1.0,
ou,fr,2,100000,,Conjonction,bliss,CC0-1.0,
pb,fr,2,100000,,Symbole du plomb,bliss,CC0-1.0,
pr,fr,2,100000,,Titre abrege,bliss,CC0-1.0,
sa,fr,2,100000,,Possessif,bliss,CC0-1.0,
se,fr,2,100000,,Pronom,bliss,CC0-1.0,
si,fr,2,100000,,Conjonction,bliss,CC0-1.0,
sn,fr,2,100000,,Symbole de l'etain,bliss,CC0-1.0,
so,fr,2,100000,,Point cardinal,bliss,CC0-1.0,
st,fr,2,100000,,Titre abrege,bliss,CC0-1.0,
ta,fr,2,100000,,Possessif,bliss,CC0-1.0,
ti,fr,2,100000,,Symbole du titane,bliss,CC0-1.0,
tu,fr,2,100000,,Pronom,bliss,CC0-1.0,
va,fr,2,100000,,Forme verbale,bliss,CC0-1.0,aller
vu,fr,2,100000,,Forme verbale,bliss,CC0-1.0,voir
xe,fr,2,100000,,Symbole du xenon,bliss,CC0-1.0,
zn,fr,2,100000,,Symbole du zinc,bliss,CC0-1.0,
ene,fr,3,100000,,Point cardinal,bliss,CC0-1.0,
ese,fr,3,100000,,Point cardinal,bliss,CC0-1.0,
mme,fr,3,100000,,Titre abrege,bliss,CC0-1.0,
nne,fr,3,100000,,Point cardinal,bliss,CC0-1.0,
nno,fr,3,100000,,Point cardinal,bliss,CC0-1.0,
sse,fr,3,100000,,Point cardinal,bliss,CC0-1.0,
sso,fr,3,100000,,Point cardinal,bliss,CC0-1.0,
ste,fr,3,100000,,Titre abrege,bliss,CC0-1.0,
ono,fr,3,100000,,Point cardinal,bliss,CC0-1.0,
oso,fr,3,100000,,Point cardinal,bliss,CC0-1.0,
