Mot;Définition 1;Définition 2
BO;Bulletin officiel;
CD;Disque compact;Support audio
CI;Ici abrégé;En cet endroit
KO;Hors combat;Mis au tapis
NO;Numéro abrégé;
SA;Société anonyme;
SE;Sud-est abrégé;
VS;Contre;Versus abrégé
AD;Après Jésus-Christ;Anno Domini
AM;Avant midi;Matin abrégé
AP;Après;
EX;Ancien;Qui n’est plus
FM;Fréquence modulée;Radio en modulation
NB;Nota bene;Note importante
ND;Notre-Dame;Abréviation religieuse
NS;Notre-Seigneur;Abréviation religieuse
OK;D’accord;Accord familier
OL;Olympique lyonnais;Club rhodanien
OP;Opus;Œuvre numérotée
PC;Ordinateur personnel;Poste informatique
PH;Potentiel hydrogène;Mesure d’acidité
PM;Après-midi;
PM;Premier ministre;
PS;Post-scriptum;Ajout de lettre
PT;Portugal;
PV;Procès-verbal;Contravention familière
QR;Code à scanner;Carré codé
ST;Rue abrégée en anglais;
TV;Télévision;Petit écran
UC;Unité centrale;Cœur du PC
VC;Vietcong;Combattant vietnamien
WC;Toilettes;Lieux d’aisance
