Mot;Définition 1;Définition 2
NE;Côté alsacien;Vers Strasbourg
NO;Côté breton;Vers la Manche
SE;Côté provençal;Vers la Méditerranée
SO;Côté aquitain;Vers l’Atlantique
ENE;Cap vers l’Alsace;Entre est et nord-est
ESE;Cap vers les Alpes du Sud;Entre est et sud-est
NNE;Cap vers les Flandres;Entre nord et nord-est
NNO;Cap vers la côte d’Opale;Entre nord et nord-ouest
ONO;Cap vers la Bretagne;Entre ouest et nord-ouest
OSO;Cap vers le golfe de Gascogne;Entre ouest et sud-ouest
SSE;Cap vers la Provence;Entre sud et sud-est
SSO;Cap vers le Pays basque;Entre sud et sud-ouest
