Mot;Définition 1;Définition 2
AG;Argent;Métal précieux
AL;Aluminium;Métal léger
AR;Argon;Gaz noble
BE;Béryllium;Métal alcalino-terreux
BR;Brome;Élément chimique
CA;Calcium;
CL;Chlore;Élément chimique
CO;Cobalt;Métal de transition bleuté
CR;Chrome;Métal brillant
CU;Cuivre;Métal rougeâtre
FE;Fer;Métal courant
FR;Francium;Élément radioactif
GE;Germanium;Métalloïde
HE;Hélium;Gaz très léger
HG;Mercure;
IR;Iridium;Métal très dense
KR;Krypton;Gaz noble
LI;Lithium;Métal alcalin
MG;Magnésium;Métal léger
MN;Manganèse;Métal des aciers
MO;Molybdène;Métal de transition
NA;Sodium;Élément chimique
NI;Nickel;
AZ;Azote ancien;Symbole désuet de l’azote
PO;Polonium;Élément radioactif
SC;Scandium;Métal rare
SN;Étain;Métal blanc
TI;Titane;Métal léger
