Mot;Définition 1;Définition 2
AA;Lave rugueuse;Coulée volcanique
AI;Possède;Forme d’avoir
AÏ;Paresseux;Animal arboricole
AN;Année;Douze mois
AU;À le;Contraction grammaticale
BA;Bonne action;Action de scout
BI;Deux fois;Préfixe de dualité
BO;Beau familier;
BU;S’est désaltéré;A vidé son verre
CA;Ça sans cédille;
CE;Démonstratif;Pronom neutre
DA;Oui slave;Ancienne affirmation
DE;Préposition;Mot de liaison
DU;De le;Article contracté
EN;Dans;Préposition
ES;Forme d’être;Deuxième personne d’être
ET;Conjonction;Addition grammaticale
EU;Possédé;Obtenu
GO;Signal de départ;
HÉ;Interpellation;Appel familier
HI;Rire léger;Syllabe de rire
HO;Cri d’arrêt;Interjection marine
IF;Conifère;Arbre toxique
IL;Pronom masculin;Lui sujet
IN;À la mode;Branché
JE;Première personne;Sujet parlant
KA;Âme égyptienne;Double spirituel
LA;Article féminin;
LE;Article masculin;Pronom complément
LU;Parcouru des yeux;Déchiffré
MA;Possessif féminin;À moi
ME;Pronom complément;Moi complément
MI;Demi en composition;
MU;Lettre grecque;
MU;Meuglement bref;
NE;Marque de négation;Particule négative
NÉ;Venu au monde;Mis bas
NI;Conjonction négative;
NO;Refus anglais;
NÔ;Théâtre japonais;Art dramatique nippon
NU;Sans vêtement;Dépouillé
OC;Langue du Midi;Oui occitan
ON;Pronom indéfini;
ON;Position de marche;
OR;Métal précieux;Jaune précieux
OR;Conjonction d’opposition;
OU;Alternative;Conjonction de choix
OÙ;Marque le lieu;Interrogatif locatif
PI;Lettre grecque;Nombre 3,14
PU;Été capable;Réussi à faire
RÉ;Île charentaise;
RI;S’est marré;S’est esclaffé
RU;Petit ruisseau;Filet d’eau
SA;Possessif féminin;
SE;Pronom réfléchi;
SI;Condition;
SU;Appris;Connu
TA;Possessif féminin;À toi
TE;Pronom complément;Toi complément
TU;Pronom sujet;Deuxième personne
UN;Premier chiffre;
UN;Article indéfini;
US;Coutumes;Habitudes anciennes
VA;Se rend;Forme d’aller
VU;Aperçu;Considéré
WU;Dialecte chinois;Langue de Shanghai
XI;Lettre grecque;Quatorzième grecque
YO;Salut familier;Interjection jeune
AV;Avant;
UR;Ville antique;Cité mésopotamienne
