word,language,length,frequency,difficulty,clue,source,source_license,lemma
CC,fr,2,100000,,C + C,bliss,CC0-1.0,CC
CD,fr,2,100000,,D - C,bliss,CC0-1.0,CD
CI,fr,2,100000,,L + LI,bliss,CC0-1.0,CI
CL,fr,2,100000,,CC - L,bliss,CC0-1.0,CL
CM,fr,2,100000,,M - C,bliss,CC0-1.0,CM
CV,fr,2,100000,,CX - V,bliss,CC0-1.0,CV
CX,fr,2,100000,,L + LX,bliss,CC0-1.0,CX
DC,fr,2,100000,,M - CD,bliss,CC0-1.0,DC
DI,fr,2,100000,,MI - D,bliss,CC0-1.0,DI
DL,fr,2,100000,,DC - L,bliss,CC0-1.0,DL
DV,fr,2,100000,,DX - V,bliss,CC0-1.0,DV
DX,fr,2,100000,,MX - D,bliss,CC0-1.0,DX
II,fr,2,100000,,I + I,bliss,CC0-1.0,II
IV,fr,2,100000,,V - I,bliss,CC0-1.0,IV
IX,fr,2,100000,,X - I,bliss,CC0-1.0,IX
LI,fr,2,100000,,CI - L,bliss,CC0-1.0,LI
LV,fr,2,100000,,LX - V,bliss,CC0-1.0,LV
LX,fr,2,100000,,C - XL,bliss,CC0-1.0,LX
MC,fr,2,100000,,D + DC,bliss,CC0-1.0,MC
MD,fr,2,100000,,MM - D,bliss,CC0-1.0,MD
MI,fr,2,100000,,D + DI,bliss,CC0-1.0,MI
ML,fr,2,100000,,MC - L,bliss,CC0-1.0,ML
MM,fr,2,100000,,M + M,bliss,CC0-1.0,MM
MV,fr,2,100000,,MX - V,bliss,CC0-1.0,MV
MX,fr,2,100000,,D + DX,bliss,CC0-1.0,MX
VI,fr,2,100000,,X - IV,bliss,CC0-1.0,VI
XC,fr,2,100000,,C - X,bliss,CC0-1.0,XC
XI,fr,2,100000,,V + VI,bliss,CC0-1.0,XI
XL,fr,2,100000,,L - X,bliss,CC0-1.0,XL
XV,fr,2,100000,,XX - V,bliss,CC0-1.0,XV
XX,fr,2,100000,,X + X,bliss,CC0-1.0,XX
