mot;pos
GLACE;adjectif
GLACE;nom_commun
VOILE;adjectif
VOILE;nom_commun
MANCHE;adjectif
MANCHE;nom_commun
MANCHE;nom_propre
VAGUE;adjectif
VAGUE;nom_commun
MODE;nom_commun
PILE;adjectif
PILE;adverbe
PILE;nom_commun
NOTE;nom_commun
TOUR;nom_commun
CARTE;nom_commun
VOL;nom_commun
GREVE;nom_commun
GREVE;nom_propre
PLATINE;adjectif
PLATINE;nom_commun
TIMBRE;adjectif
TIMBRE;nom_commun
FOYER;nom_commun
BOUCHON;nom_commun
BOUCHON;nom_propre
LIVRE;nom_commun
LIVRE;nom_propre
SOLDE;adjectif
SOLDE;nom_commun
PLANCHE;adjectif
PLANCHE;nom_commun
GRAIN;nom_commun
TRAIT;adjectif
TRAIT;nom_commun
CREPUSCULE;nom_commun
AURORE;adjectif
AURORE;nom_commun
AURORE;nom_propre
VESTIGE;nom_commun
MIRAGE;nom_commun
NAUFRAGE;adjectif
NAUFRAGE;nom_commun
LABYRINTHE;nom_commun
SORTILEGE;nom_commun
CHIMERE;nom_commun
CHIMERE;nom_propre
ECLIPSE;nom_commun
ABIME;adjectif
ABIME;nom_commun
BRUME;nom_commun
GIVRE;adjectif
GIVRE;nom_commun
ECUME;nom_commun
LISIERE;nom_commun
CLAIRIERE;nom_commun
ROSEE;nom_commun
ROSEE;nom_propre
OASIS;nom_commun
DUNE;nom_commun
DUNE;nom_propre
RECIF;nom_commun
CASCADE;nom_commun
TORRENT;nom_commun
TORRENT;nom_propre
FALAISE;nom_commun
FALAISE;nom_propre
GOUFFRE;nom_commun
CRATERE;nom_commun
CRATERE;nom_propre
GLACIER;adjectif
GLACIER;nom_commun
PHENIX;nom_commun
PHENIX;nom_propre
MEDUSE;nom_commun
MEDUSE;nom_propre
SIRENE;nom_commun
TITAN;nom_commun
TITAN;nom_propre
ORACLE;nom_commun
ODYSSEE;nom_commun
ODYSSEE;nom_propre
SPHINX;adjectif
SPHINX;nom_commun
SPHINX;nom_propre
LICORNE;nom_commun
LICORNE;nom_propre
GRAAL;nom_commun
GRAAL;nom_propre
BABEL;nom_commun
BABEL;nom_propre
DRAGON;nom_commun
DRAGON;nom_propre
EBLOUIR;verbe_infinitif
SOMBRER;verbe_infinitif
FREMIR;verbe_infinitif
EFFLEURER;verbe_infinitif
MURMURER;verbe_infinitif
ERRER;verbe_infinitif
JAILLIR;verbe_infinitif
VACILLER;verbe_infinitif
SCINTILLER;verbe_infinitif
FLAMBOYER;verbe_infinitif
CHUCHOTER;verbe_infinitif
EPHEMERE;adjectif
EPHEMERE;nom_commun
LIMPIDE;adjectif
FAROUCHE;adjectif
FAROUCHE;nom_commun
FEBRILE;adjectif
DIAPHANE;adjectif
NEBULEUX;adjectif
IMPASSIBLE;adjectif
INTREPIDE;adjectif
SEREIN;adjectif
SEREIN;nom_commun
SEREIN;nom_propre
INDOMPTABLE;adjectif
INDOMPTABLE;nom_commun
NOSTALGIE;nom_commun
VERTIGE;nom_commun
FRISSON;nom_commun
EXTASE;nom_commun
MELANCOLIE;nom_commun
IVRESSE;nom_commun
EMOI;nom_commun
ELAN;nom_commun
ELAN;nom_propre
REVERIE;nom_commun
SABLIER;nom_commun
BOUSSOLE;nom_commun
BOUSSOLE;nom_propre
LANTERNE;nom_commun
LANTERNE;nom_propre
CHANDELIER;nom_commun
PENDULE;nom_commun
CARROUSEL;nom_commun
GRIMOIRE;nom_commun
TALISMAN;nom_commun
AMULETTE;nom_commun
BEFFROI;nom_commun
DONJON;nom_commun
REMPART;nom_commun
CITADELLE;nom_commun
VITRAIL;nom_commun
