word,language,length,frequency,difficulty,clue,source,source_license,lemma
ai,fr,2,100000,,Forme du verbe avoir,bliss,CC0-1.0,ai
ail,fr,3,100000,,Bulbe à gousses,bliss,CC0-1.0,ail
air,fr,3,100000,,Mélange respirable,bliss,CC0-1.0,air
ami,fr,3,100000,,Compagnon de confiance,bliss,CC0-1.0,ami
an,fr,2,100000,,Période de douze mois,bliss,CC0-1.0,an
ans,fr,3,100000,,Mesure de la durée d'une vie,bliss,CC0-1.0,ans
arc,fr,3,100000,,Arme à corde tendue,bliss,CC0-1.0,arc
are,fr,3,100000,,Cent mètres carrés,bliss,CC0-1.0,are
art,fr,3,100000,,Création esthétique,bliss,CC0-1.0,art
as,fr,2,100000,,Carte maîtresse,bliss,CC0-1.0,as
au,fr,2,100000,,Article contracté,bliss,CC0-1.0,au
axe,fr,3,100000,,Ligne droite centrale,bliss,CC0-1.0,axe
aïe,fr,3,100000,,Cri de douleur,bliss,CC0-1.0,aïe
bac,fr,3,100000,,Cuve ou ferry,bliss,CC0-1.0,bac
bal,fr,3,100000,,Soirée dansante,bliss,CC0-1.0,bal
ban,fr,3,100000,,Décret public,bliss,CC0-1.0,ban
bar,fr,3,100000,,Établissement à boire,bliss,CC0-1.0,bar
bas,fr,3,100000,,Vêtement de jambe,bliss,CC0-1.0,bas
bec,fr,3,100000,,Pointe d'oiseau,bliss,CC0-1.0,bec
bis,fr,3,100000,,Encore une fois,bliss,CC0-1.0,bis
blé,fr,3,100000,,Céréale dorée,bliss,CC0-1.0,blé
bol,fr,3,100000,,Récipient creux,bliss,CC0-1.0,bol
bon,fr,3,100000,,Coupon ou agréable,bliss,CC0-1.0,bon
bus,fr,3,100000,,Transport en commun,bliss,CC0-1.0,bus
but,fr,3,100000,,Objectif à atteindre,bliss,CC0-1.0,but
cap,fr,3,100000,,Pointe rocheuse,bliss,CC0-1.0,cap
car,fr,3,100000,,Bus interurbain,bliss,CC0-1.0,car
cas,fr,3,100000,,Situation particulière,bliss,CC0-1.0,cas
ce,fr,2,100000,,Démonstratif neutre,bliss,CC0-1.0,ce
cep,fr,3,100000,,Pied de vigne,bliss,CC0-1.0,cep
cet,fr,3,100000,,Démonstratif masculin,bliss,CC0-1.0,cet
cil,fr,3,100000,,Poil de paupière,bliss,CC0-1.0,cil
clé,fr,3,100000,,Outil de serrure,bliss,CC0-1.0,clé
col,fr,3,100000,,Passage de montagne,bliss,CC0-1.0,col
coq,fr,3,100000,,Mâle de la poule,bliss,CC0-1.0,coq
cor,fr,3,100000,,Instrument à vent,bliss,CC0-1.0,cor
cou,fr,3,100000,,Lien tête-tronc,bliss,CC0-1.0,cou
cri,fr,3,100000,,Vocalisation forte,bliss,CC0-1.0,cri
cru,fr,3,100000,,Vin d'un terroir,bliss,CC0-1.0,cru
cul,fr,3,100000,,Postérieur familier,bliss,CC0-1.0,cul
dam,fr,3,100000,,Préjudice subi,bliss,CC0-1.0,dam
de,fr,2,100000,,Préposition d'origine,bliss,CC0-1.0,de
du,fr,2,100000,,Article contracté masculin,bliss,CC0-1.0,du
duc,fr,3,100000,,Titre nobiliaire,bliss,CC0-1.0,duc
dur,fr,3,100000,,Solide et résistant,bliss,CC0-1.0,dur
eau,fr,3,100000,,Liquide vital,bliss,CC0-1.0,eau
en,fr,2,100000,,Préposition de lieu,bliss,CC0-1.0,en
es,fr,2,100000,,Verbe être à la 2e personne,bliss,CC0-1.0,es
est,fr,3,100000,,Point cardinal du levant,bliss,CC0-1.0,est
et,fr,2,100000,,Conjonction de coordination,bliss,CC0-1.0,et
eu,fr,2,100000,,Participe du verbe avoir,bliss,CC0-1.0,eu
eux,fr,3,100000,,Pronom pluriel masculin,bliss,CC0-1.0,eux
fan,fr,3,100000,,Admirateur passionné,bliss,CC0-1.0,fan
fer,fr,3,100000,,Métal magnétique,bliss,CC0-1.0,fer
feu,fr,3,100000,,Combustion vive,bliss,CC0-1.0,feu
fil,fr,3,100000,,Brin allongé,bliss,CC0-1.0,fil
foi,fr,3,100000,,Croyance profonde,bliss,CC0-1.0,foi
fou,fr,3,100000,,Privé de raison,bliss,CC0-1.0,fou
gaz,fr,3,100000,,État de la matière,bliss,CC0-1.0,gaz
gel,fr,3,100000,,Eau solidifiée,bliss,CC0-1.0,gel
gré,fr,3,100000,,Volonté ou consentement,bliss,CC0-1.0,gré
ici,fr,3,100000,,En ce lieu,bliss,CC0-1.0,ici
if,fr,2,100000,,Arbre à baies rouges,bliss,CC0-1.0,if
il,fr,2,100000,,Pronom masculin singulier,bliss,CC0-1.0,il
ils,fr,3,100000,,Pronom masculin pluriel,bliss,CC0-1.0,ils
jeu,fr,3,100000,,Activité ludique,bliss,CC0-1.0,jeu
kit,fr,3,100000,,Ensemble à monter,bliss,CC0-1.0,kit
la,fr,2,100000,,Article féminin ou note,bliss,CC0-1.0,la
lac,fr,3,100000,,Étendue d'eau intérieure,bliss,CC0-1.0,lac
las,fr,3,100000,,Las et fatigué,bliss,CC0-1.0,las
le,fr,2,100000,,Article masculin,bliss,CC0-1.0,le
les,fr,3,100000,,Article défini pluriel,bliss,CC0-1.0,les
lie,fr,3,100000,,Dépôt au fond du fût,bliss,CC0-1.0,lie
lin,fr,3,100000,,Plante textile,bliss,CC0-1.0,lin
lis,fr,3,100000,,Fleur royale,bliss,CC0-1.0,lis
lit,fr,3,100000,,Meuble pour dormir,bliss,CC0-1.0,lit
loi,fr,3,100000,,Règle obligatoire,bliss,CC0-1.0,loi
lot,fr,3,100000,,Part attribuée,bliss,CC0-1.0,lot
lu,fr,2,100000,,Participe de lire,bliss,CC0-1.0,lu
lui,fr,3,100000,,Pronom de la 3e personne,bliss,CC0-1.0,lui
lys,fr,3,100000,,Fleur héraldique,bliss,CC0-1.0,lys
ma,fr,2,100000,,Possessif féminin singulier,bliss,CC0-1.0,ma
mal,fr,3,100000,,Souffrance,bliss,CC0-1.0,mal
mas,fr,3,100000,,Maison provençale,bliss,CC0-1.0,mas
mat,fr,3,100000,,Sans éclat,bliss,CC0-1.0,mat
me,fr,2,100000,,Pronom personnel,bliss,CC0-1.0,me
mer,fr,3,100000,,Vaste étendue salée,bliss,CC0-1.0,mer
mi,fr,2,100000,,Note de musique,bliss,CC0-1.0,mi
mie,fr,3,100000,,Partie tendre du pain,bliss,CC0-1.0,mie
mil,fr,3,100000,,Céréale africaine,bliss,CC0-1.0,mil
mou,fr,3,100000,,Sans fermeté,bliss,CC0-1.0,mou
mu,fr,2,100000,,Lettre grecque,bliss,CC0-1.0,mu
mur,fr,3,100000,,Cloison verticale,bliss,CC0-1.0,mur
ne,fr,2,100000,,Particule de négation,bliss,CC0-1.0,ne
nef,fr,3,100000,,Vaisseau d'église,bliss,CC0-1.0,nef
nez,fr,3,100000,,Organe de l'odorat,bliss,CC0-1.0,nez
ni,fr,2,100000,,Conjonction de négation,bliss,CC0-1.0,ni
nid,fr,3,100000,,Abri d'oiseau,bliss,CC0-1.0,nid
nom,fr,3,100000,,Mot qui désigne,bliss,CC0-1.0,nom
non,fr,3,100000,,Refus net,bliss,CC0-1.0,non
nos,fr,3,100000,,Possessif pluriel,bliss,CC0-1.0,nos
nul,fr,3,100000,,Aucun et inutile,bliss,CC0-1.0,nul
oh,fr,2,100000,,Cri d'étonnement,bliss,CC0-1.0,oh
oie,fr,3,100000,,Oiseau aquatique blanc,bliss,CC0-1.0,oie
on,fr,2,100000,,Pronom indéfini,bliss,CC0-1.0,on
ont,fr,3,100000,,Possèdent au présent,bliss,CC0-1.0,ont
ose,fr,3,100000,,Risque ou sucre simple,bliss,CC0-1.0,ose
ou,fr,2,100000,,Conjonction d'alternative,bliss,CC0-1.0,ou
