mot;definition;pos;categorie;style;force;longueur;source;source_batch;rated_at;training_weight
JOLIE;Attrayante;autre;autre;culturel;3;5;rater_proposed;rater_2026-05;2026-05-27 12:37:53.498797+00;1.0
PINCE;Main du crabe;nom_commun;autre;cryptique;3;5;rater_proposed;rater_2026-05;2026-05-27 16:24:32.629073+00;1.0
GLACE;On y voit son reflet;nom_commun;autre;periphrase;3;5;rater_proposed;rater_2026-05;2026-05-27 16:31:49.199803+00;1.0
ROUGE;À lèvre, pour se maquiller;adjectif;autre;periphrase;3;5;rater_proposed;rater_2026-05;2026-05-27 21:23:29.386812+00;1.0
AVION;Oiseau de fer;nom_commun;autre;periphrase;3;5;rater_proposed;rater_2026-05;2026-05-27 21:41:48.769418+00;1.0
LIVRE;Ensemble de pages;nom_commun;autre;culturel;3;5;rater_proposed;rater_2026-05;2026-05-27 22:01:17.569952+00;1.0
MARTEAU;Il sert à taper des clous;nom_commun;autre;definition_directe;3;7;rater_proposed;rater_2026-05;2026-05-28 05:37:20.471997+00;1.0
MAIN;Porteuse de bagues;nom_commun;autre;periphrase;3;4;rater_proposed;rater_2026-05;2026-05-28 05:40:25.116589+00;1.0
POULE;D'eau ou de ferme;nom_commun;autre;culturel;3;5;rater_proposed;rater_2026-05;2026-05-28 05:43:01.598381+00;1.0
PLAGE;Horaire ou sableuse;nom_commun;autre;fonction_role;3;5;rater_proposed;rater_2026-05;2026-05-28 06:00:33.591795+00;1.0
LENT;Qui avance à petit pas;adjectif;autre;definition_directe;3;4;rater_proposed;rater_2026-05;2026-05-28 07:07:09.726727+00;1.0
POULE;Pondeuse de ferme;nom_commun;autre;periphrase;3;5;rater_proposed;rater_2026-05;2026-05-28 07:10:33.905254+00;1.0
ARGENT;Métal ou monnaie;nom_commun;autre;fonction_role;3;6;rater_proposed;rater_2026-05;2026-05-28 07:16:14.983098+00;1.0
BERGER;Allemand, c'est un canidé;nom_commun;autre;periphrase;3;6;rater_proposed;rater_2026-05;2026-05-28 07:18:22.407435+00;1.0
RENARD;Canidé rusé;nom_commun;autre;fonction_role;3;6;rater_proposed;rater_2026-05;2026-05-28 09:24:58.771308+00;1.0
TANTE;La sœur de maman;nom_commun;autre;culturel;3;5;rater_proposed;rater_2026-05;2026-05-28 09:26:31.942748+00;1.0
COURONNE;Ornement de souverains;nom_commun;autre;culturel;3;8;rater_proposed;rater_2026-05;2026-05-28 09:31:18.3577+00;1.0
CASQUE;Protège la tête;nom_commun;autre;definition_directe;3;6;rater_proposed;rater_2026-05;2026-05-28 09:31:53.462908+00;1.0
CRATERE;Cicatrice de Lune;nom_commun;autre;fonction_role;3;7;rater_proposed;rater_2026-05;2026-05-29 09:14:47.591465+00;1.0
PIANO;Clavier sans ordinateur;nom_commun;autre;cryptique;3;5;rater_proposed;rater_2026-05;2026-05-29 09:15:29.321813+00;1.0
