lemma,chosen,rejected,n_category
armer,Équiper,Donner des armes,DOBJ
écrire,Rédiger,Tracer des lettres,DOBJ
entreprendre,Lancer,Mettre en chantier,PP_BRIDGE
traiter,Soigner,Donner un traitement,DOBJ
conduire,Mener,Tenir le volant,DOBJ
élever,Hisser,Faire grandir,VERB_VERB
charger,Lester,Mettre une charge,DOBJ
porter,Soutenir,Avoir sur soi,PP_BRIDGE
trouver,Dénicher,Mettre la main dessus,DOBJ
rendre,Restituer,Faire un retour,DOBJ
établir,Instaurer,Mettre en place,PP_BRIDGE
priver,Démunir,Retirer un droit,DOBJ
employer,Engager,Donner du travail,DOBJ
nécessiter,Exiger,Demander un effort,DOBJ
placer,Disposer,Mettre en position,PP_BRIDGE
considérer,Examiner,Tenir pour vrai,PP_BRIDGE
obtenir,Décrocher,Avoir un résultat,DOBJ
citer,Mentionner,Donner en exemple,PP_BRIDGE
nommer,Désigner,Donner un nom,DOBJ
présenter,Exposer,Faire connaître,VERB_VERB
former,Façonner,Donner une forme,DOBJ
recevoir,Accueillir,Prendre livraison,VERB_VERB
soumettre,Subjuguer,Mettre sous pression,PP_BRIDGE
composer,Élaborer,Mettre ensemble,VERB_ADV
assembler,Réunir,Joindre ensemble,PLEONASM
fonder,Bâtir,Mettre en place,PP_BRIDGE
déterminer,Définir,Fixer un point,DOBJ
découvrir,Dénicher,Mettre au jour,PP_BRIDGE
mettre,Poser,Faire entrer,VERB_VERB
appeler,Convoquer,Donner un nom,DOBJ
exposer,Étaler,Mettre à la vue,PP_BRIDGE
utiliser,Manier,Faire usage de,VERB_VERB
perdre,Égarer,Ne plus avoir,VERB_ADV
créer,Concevoir,Mettre au monde,PP_BRIDGE
permettre,Autoriser,Donner le droit,DOBJ
obliger,Contraindre,Forcer une action,DOBJ
consacrer,Vouer,Donner du temps,DOBJ
contenir,Renfermer,Avoir à l'intérieur,PP_BRIDGE
comprendre,Saisir,Avoir une idée claire,DOBJ
prévoir,Anticiper,Voir à l'avance,PP_BRIDGE
proposer,Suggérer,Mettre en avant,PP_BRIDGE
réaliser,Accomplir,Mettre en œuvre,PP_BRIDGE
constituer,Composer,Faire partie de,VERB_VERB
adopter,Choisir,Prendre pour sien,PP_BRIDGE
destiner,Vouer,Mettre de côté,PP_BRIDGE
observer,Scruter,Garder un œil,DOBJ
acquérir,Conquérir,Devenir propriétaire,VERB_VERB
indiquer,Signaler,Faire un signe,DOBJ
marquer,Imprégner,Faire une marque,DOBJ
lier,Attacher,Faire un nœud,DOBJ
garantir,Assurer,Donner sa parole,DOBJ
occuper,Investir,Prendre une place,DOBJ
appliquer,Apposer,Mettre une couche,DOBJ
conserver,Préserver,Garder en stock,PP_BRIDGE
limiter,Borner,Mettre une borne,DOBJ
organiser,Agencer,Mettre en ordre,PP_BRIDGE
étudier,Analyser,Faire un examen,DOBJ
développer,Étoffer,Faire grandir,VERB_VERB
opposer,Confronter,Mettre face à face,VERB_VERB
attacher,Lier,Mettre un lien,DOBJ
