lemma,pos,clue,filter_score
able,nom,Capable,0.9893
abri,nom,Protection,0.9996
banc,nom,Siège,0.9995
bien,adj,Possession,0.9292
bête,nom,Créature vivante,0.8592
char,nom,Noble,0.8400
fief,nom,Domaine,0.9998
full,nom,Complet,0.9998
gras,adj,Également,0.9997
hard,nom,Difficile,0.9996
imam,nom,Chef religieux musulman,0.8494
maxi,adj,Long,0.9996
mono,nom,Unique,0.9969
mémo,nom,Note,0.9996
orga,nom,Structure,0.9996
ouïe,nom,Sens de l'audition,0.8617
pire,nom,Plus mauvais,0.8925
post,nom,Après,0.9990
prof,nom,Maître,0.9993
ruer,verbe,Charger,0.8997
râpe,nom,Outil abrasif,0.8109
saut,nom,Élan vertical,0.8073
trou,nom,Ouverture,0.9997
velu,nom,Poilu,0.8611
voie,nom,Chemin,0.9995
zoom,nom,Grossissement,0.8253
aigle,nom,Oiseau majestueux,0.8019
atome,nom,Particule élémentaire,0.8090
baron,nom,Noble,0.9998
bombe,nom,Engin explosif,0.8207
caser,verbe,Loger,0.9727
cause,nom,Origine,0.9998
culte,nom,Adoration religieuse,0.8084
cumul,nom,Montant total,0.8000
droit,nom,Juste,0.9993
ennui,nom,Lassitude,0.8197
envoi,nom,Départ,0.9996
fente,nom,Ouverture,0.9997
foire,nom,Marché,0.9998
frais,adj,Coût,0.9996
frise,nom,Bande chronologique,0.8296
fusée,nom,Engin spatial propulsé,0.8520
hêtre,nom,Arbre majestueux,0.8029
inouï,adj,Exceptionnel,0.9998
livre,nom,Écrit,0.9996
lueur,nom,Rayon lumineux,0.8488
monde,nom,Planète,0.9998
natal,nom,Naissance,0.9998
ovule,nom,Cellule fécondée,0.8688
rôder,verbe,Errer,0.8274
score,nom,Total,0.9997
serre,nom,Verre,0.9998
sigle,nom,Abréviation,0.8031
slave,nom,Esclave,0.9123
talus,nom,Versant rocheux,0.8518
tracé,nom,Ligne dessinée,0.8264
tueur,nom,Assassin,0.8565
union,nom,Alliance,0.9998
utile,adj,Pratique,0.9998
verge,nom,Limite,0.9990
vital,adj,Essentiel,0.8140
éveil,nom,Sortie du sommeil,0.8152
abbaye,nom,Monastère,0.8145
agréer,verbe,Accepter,0.9757
alarme,nom,Signal sonore,0.8608
arable,adj,Cultivable,0.8835
avérer,verbe,Confirmer,0.8566
cadran,nom,Face d'une montre,0.8010
cheikh,nom,Chef religieux musulman,0.8071
crayon,nom,Instrument d'écriture,0.8378
cécité,nom,Perte totale de la vue,0.8143
demain,nom,Futur,0.9997
dessin,nom,Représentation graphique,0.8152
dosage,nom,Quantité,0.8038
dégoût,nom,Émotion de répulsion,0.8053
dépose,nom,Place,0.9997
désert,adj,Espace aride,0.8272
enclos,nom,Espace clos,0.9006
fracas,nom,Bruit assourdissant,0.8591
garnir,verbe,Décorer,0.8494
hausse,nom,Augmentation,0.9987
imiter,verbe,Copier,0.8151
influx,nom,Afflux massif,0.9017
moteur,nom,Propulseur,0.8371
mouche,nom,Insecte volant,0.8292
myopie,nom,Trouble de la vision,0.8813
mérite,nom,Qualité,0.9998
nombre,nom,Quantité,0.8064
normal,nom,Habituel,0.8186
organe,nom,Corps,0.8019
pardon,nom,Clémence,0.9994
parité,nom,Égalité,0.8450
parole,nom,Déclaration,0.9998
potion,nom,Remède magique,0.8642
pudeur,nom,Réserve,0.9996
puiser,verbe,Tirer,0.9750
quorum,nom,Nombre minimum de membres,0.8109
radeau,nom,Vaisseau flottant,0.8524
ration,nom,Part,0.8052
renier,verbe,Dénier,0.8576
single,nom,Unique,0.9776
souder,verbe,Assembler,0.8088
source,nom,Origine,0.9998
statue,nom,Sculpture monumentale,0.8013
tracer,verbe,Suivre,0.9998
trouée,nom,Percée,0.8503
verger,nom,Plantation fruitière,0.8050
virage,nom,Angle,0.8286
évader,verbe,S'échapper,0.8076
agilité,nom,Vivacité,0.8257
algèbre,nom,Branche des mathématiques,0.8214
ancêtre,nom,Ascendant,0.8477
anhydre,adj,Privé d'eau,0.8090
arsenal,nom,Dépôt d'armes,0.8189
baleine,nom,Mammifère marin géant,0.8049
bâtisse,nom,Construction,0.9940
caporal,nom,Sous-officier,0.8390
carence,nom,Manque,0.9996
chemise,nom,Haut,0.9998
clavier,nom,Instrument musical,0.8659
coûteux,adj,Cher,0.9997
diction,nom,Expression verbale,0.8377
estomac,nom,Organe digestif,0.8314
falaise,nom,Mur de roche,0.8148
fermeté,nom,Force,0.8357
flatter,verbe,Louer,0.8196
gouffre,nom,Profondeur,0.9989
graphie,nom,Écriture,0.8140
horloge,nom,Cadran temporel,0.8100
hérésie,nom,Doctrine erronée,0.8882
insigne,nom,Symbole distinctif,0.8562
latéral,adj,Côté,0.9991
lexical,adj,Relatif aux mots,0.8616
lugubre,adj,Sombre et sinistre,0.8393
meeting,nom,Rassemblement,0.9001
message,nom,Communication,0.9998
meunier,nom,Moulinier,0.8501
meurtre,nom,Action de tuer,0.8074
monstre,nom,Créature fantastique,0.8256
musique,nom,Art sonore,0.8504
méthode,nom,Technique,0.9988
netteté,nom,Clarté,0.8221
nuancer,verbe,Modérer,0.8161
néfaste,adj,Délétère,0.8473
onzième,nom,Dixième,0.9033
opacité,nom,Manque de clarté,0.8129
optique,nom,Science de la lumière,0.8339
orfèvre,nom,Artisan du métal précieux,0.8077
