word,language,length,frequency,difficulty,clue,source,source_license,lemma
ne,fr,2,100000,,Point cardinal,bliss,CC0-1.0,
no,fr,2,100000,,Point cardinal,bliss,CC0-1.0,
so,fr,2,100000,,Point cardinal,bliss,CC0-1.0,
ene,fr,3,100000,,Point cardinal,bliss,CC0-1.0,
ese,fr,3,100000,,Point cardinal,bliss,CC0-1.0,
nne,fr,3,100000,,Point cardinal,bliss,CC0-1.0,
nno,fr,3,100000,,Point cardinal,bliss,CC0-1.0,
sse,fr,3,100000,,Point cardinal,bliss,CC0-1.0,
sso,fr,3,100000,,Point cardinal,bliss,CC0-1.0,
ono,fr,3,100000,,Point cardinal,bliss,CC0-1.0,
oso,fr,3,100000,,Point cardinal,bliss,CC0-1.0,
