word,language,length,frequency,difficulty,clue,source,source_license,lemma
alpha,fr,5,274936,0.81738216,Lettre grecque (1e),bliss,CC0-1.0,
beta,fr,4,100000,,Lettre grecque (2e),bliss,CC0-1.0,
gamma,fr,5,212445,0.82040983,Lettre grecque (3e),bliss,CC0-1.0,
delta,fr,5,150199,0.82438344,Lettre grecque (4e),bliss,CC0-1.0,
epsilon,fr,7,100000,,Lettre grecque (5e),bliss,CC0-1.0,
zeta,fr,4,100000,,Lettre grecque (6e),bliss,CC0-1.0,
eta,fr,3,100000,,Lettre grecque (7e),bliss,CC0-1.0,
theta,fr,5,100000,,Lettre grecque (8e),bliss,CC0-1.0,
iota,fr,4,100000,,Lettre grecque (9e),bliss,CC0-1.0,
kappa,fr,5,100000,,Lettre grecque (10e),bliss,CC0-1.0,
lambda,fr,6,100000,,Lettre grecque (11e),bliss,CC0-1.0,
mu,fr,2,0,,Lettre grecque (12e),bliss,CC0-1.0,
nu,fr,2,100000,,Lettre grecque (13e),bliss,CC0-1.0,
xi,fr,2,100000,,Lettre grecque (14e),bliss,CC0-1.0,
omicron,fr,7,100000,,Lettre grecque (15e),bliss,CC0-1.0,
pi,fr,2,100000,,Lettre grecque (16e),bliss,CC0-1.0,
rho,fr,3,100000,,Lettre grecque (17e),bliss,CC0-1.0,
sigma,fr,5,100000,,Lettre grecque (18e),bliss,CC0-1.0,
tau,fr,3,100000,,Lettre grecque (19e),bliss,CC0-1.0,
upsilon,fr,7,100000,,Lettre grecque (20e),bliss,CC0-1.0,
phi,fr,3,100000,,Lettre grecque (21e),bliss,CC0-1.0,
chi,fr,3,100000,,Lettre grecque (22e),bliss,CC0-1.0,
psi,fr,3,100000,,Lettre grecque (23e),bliss,CC0-1.0,
omega,fr,5,100000,,Lettre grecque (24e),bliss,CC0-1.0,
