word,language,length,frequency,difficulty,clue,source,source_license,lemma
ii,fr,2,100000,,Chiffre romain (2),bliss,CC0-1.0,
iii,fr,3,100000,,Chiffre romain (3),bliss,CC0-1.0,
iv,fr,2,100000,,Chiffre romain (4),bliss,CC0-1.0,
vi,fr,2,100000,,Chiffre romain (6),bliss,CC0-1.0,
vii,fr,3,100000,,Chiffre romain (7),bliss,CC0-1.0,
viii,fr,4,100000,,Chiffre romain (8),bliss,CC0-1.0,
ix,fr,2,100000,,Chiffre romain (9),bliss,CC0-1.0,
xi,fr,2,100000,,Chiffre romain (11),bliss,CC0-1.0,
xii,fr,3,100000,,Chiffre romain (12),bliss,CC0-1.0,
xiii,fr,4,100000,,Chiffre romain (13),bliss,CC0-1.0,
xiv,fr,3,100000,,Chiffre romain (14),bliss,CC0-1.0,
xv,fr,2,100000,,Chiffre romain (15),bliss,CC0-1.0,
xx,fr,2,100000,,Chiffre romain (20),bliss,CC0-1.0,
xxx,fr,3,100000,,Chiffre romain (30),bliss,CC0-1.0,
