word,language,length,frequency,difficulty,clue,source,source_license,lemma
ag,fr,2,100000,,Symbole de l'argent,bliss,CC0-1.0,
al,fr,2,100000,,Symbole de l'aluminium,bliss,CC0-1.0,
ar,fr,2,100000,,Symbole de l'argon,bliss,CC0-1.0,
be,fr,2,100000,,Symbole du beryllium,bliss,CC0-1.0,
br,fr,2,100000,,Symbole du brome,bliss,CC0-1.0,
co,fr,2,100000,,Symbole du cobalt,bliss,CC0-1.0,
cr,fr,2,100000,,Symbole du chrome,bliss,CC0-1.0,
cu,fr,2,100000,,Symbole du cuivre,bliss,CC0-1.0,
fe,fr,2,100000,,Symbole du fer,bliss,CC0-1.0,
he,fr,2,100000,,Symbole de l'helium,bliss,CC0-1.0,
hg,fr,2,100000,,Symbole du mercure,bliss,CC0-1.0,
kr,fr,2,100000,,Symbole du krypton,bliss,CC0-1.0,
li,fr,2,100000,,Symbole du lithium,bliss,CC0-1.0,
mg,fr,2,100000,,Symbole du magnesium,bliss,CC0-1.0,
mn,fr,2,100000,,Symbole du manganese,bliss,CC0-1.0,
na,fr,2,100000,,Symbole du sodium,bliss,CC0-1.0,
pb,fr,2,100000,,Symbole du plomb,bliss,CC0-1.0,
sn,fr,2,100000,,Symbole de l'etain,bliss,CC0-1.0,
ti,fr,2,100000,,Symbole du titane,bliss,CC0-1.0,
xe,fr,2,100000,,Symbole du xenon,bliss,CC0-1.0,
zn,fr,2,100000,,Symbole du zinc,bliss,CC0-1.0,
